"","VanID","mail.itt","phone.itt","lit.itt","text.itt","precinct","zone","group","mail.pp","phone.pp","lit.pp","text.pp","applied","mail.apply","phone.apply","lit.apply","text.apply","voted","mail.voted","phone.voted","lit.voted","text.voted","age","sex"
"3580",4985804,"N","Y","N","Y","East Nottingham East",3,9,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",72,"F"
"3581",4987368,"N","N","Y","Y","Birmingham 1",6,10,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3582",4987489,"Y","N","N","N","Oxford E",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3583",4989272,"N","N","Y","N","Upper Oxford",3,3,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3584",4989992,"N","N","N","Y","New London",3,4,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",53,"M"
"3585",4990209,"N","Y","N","N","West Grove 2",3,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3586",4990389,"N","Y","Y","N","Thornbury 2",6,8,"N","Y","Y","N","N","N","N","N","N","N","N","N","N","N",45,"F"
"3587",4990573,"N","N","N","Y","Oxford W",3,4,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",47,"F"
"3588",4991065,"N","Y","Y","N","London Britain",3,8,"N","Y","Y","N","N","N","N","N","N","polls","N","N","N","N",84,"F"
"3589",4991616,"N","N","Y","N","Penn",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3590",4992744,"Y","Y","N","N","Upper Oxford",3,5,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3591",4992769,"Y","N","Y","N","Londonderry",3,6,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3592",4992770,"N","Y","Y","N","Upper Oxford",3,8,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3593",4992926,"Y","N","N","N","London Britain",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3594",4992942,"N","N","Y","Y","Penn",3,10,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",72,"F"
"3595",4993176,"Y","Y","N","N","London Britain",3,5,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3596",4993179,"N","Y","N","Y","Penn",3,9,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",64,"F"
"3597",4993343,"N","Y","Y","N","Franklin",3,8,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3598",4995764,"N","N","Y","Y","Franklin",3,10,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3599",4996336,"N","Y","Y","N","Franklin",3,8,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N",48,"F"
"3600",4997577,"Y","Y","N","N","Franklin",3,5,"Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",45,"M"
"3601",4998098,"N","Y","N","Y","W Nottingham",3,9,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",49,"F"
"3602",4998100,"N","Y","N","N","Oxford W",3,2,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N",65,"M"
"3603",4998185,"Y","Y","N","N","Westtown 2",6,5,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3604",4998216,"N","Y","N","Y","Birmingham 2",6,9,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3605",4998221,"N","Y","Y","N","Westtown 5",6,8,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3606",4998233,"N","Y","Y","N","Westtown 4",6,8,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N",83,"F"
"3607",5001644,"N","N","Y","N","Westtown 4",6,3,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3608",5002057,"N","N","Y","N","London Grove S",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3609",5003132,"N","N","Y","Y","Lower Oxford W",3,10,"N","N","Y","Y","B","X","X","X","X","polls","X","X","X","X",54,"M"
"3610",5004454,"N","Y","Y","N","Upper Oxford",3,8,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3611",5004455,"N","Y","N","N","Westtown 3",6,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3612",5004585,"N","Y","N","N","Penn",3,2,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3613",5004792,"Y","N","N","Y","London Grove S",3,7,"Y","N","N","Y","N","N","N","N","N","N","N","N","N","N",45,"F"
"3614",5006031,"Y","Y","N","N","East Nottingham East",3,5,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3615",5006358,"Y","N","Y","N","East Nottingham West",3,6,"Y","N","Y","N","B","X","X","X","X","mail","X","X","X","X",97,"F"
"3616",5007430,"N","N","Y","N","Penn",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3617",5007605,"N","Y","N","N","Birmingham 2",6,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3618",5008087,"N","N","Y","N","East Nottingham East",3,3,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3619",5009696,"Y","N","N","N","East Nottingham West",3,1,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3620",5010202,"N","N","Y","N","London Grove S",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3621",5010881,"Y","N","N","N","East Nottingham East",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3622",5014490,"Y","N","Y","N","Westtown 2",6,6,"Y","N","Y","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3623",5015561,"N","Y","Y","N","East Nottingham East",3,8,"N","Y","Y","N","N","N","N","N","N","N","N","N","N","N",82,"F"
"3624",5015573,"N","N","Y","Y","Highland",3,10,"N","N","Y","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3625",5016568,"N","Y","Y","N","Penn",3,8,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3626",5016652,"N","Y","N","N","London Grove S",3,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3627",5016881,"N","Y","N","N","Oxford W",3,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3628",5017587,"Y","N","N","Y","Londonderry",3,7,"Y","N","N","N","A","Y","Y","X","Y","N","N","N","N","N",NA,NA
"3629",5018902,"N","N","N","Y","Westtown 3",6,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3630",5020267,"N","Y","N","N","Westtown 2",6,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3631",5021394,"Y","N","Y","N","New London",3,6,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3632",5021814,"N","Y","Y","N","Westtown 3",6,8,"N","N","Y","N","B","X","X","X","X","mail","X","X","X","X",76,"F"
"3633",5021849,"N","Y","Y","N","London Grove Ch",3,8,"N","Y","N","N","B","X","X","X","X","mail","X","X","X","X",71,"F"
"3634",5021850,"N","N","Y","Y","Penn",3,10,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",63,"F"
"3635",5021856,"N","Y","N","Y","New London",3,9,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3636",5021857,"N","Y","N","Y","Penn",3,9,"N","Y","N","N","B","X","X","X","X","mail","X","X","X","X",77,"F"
"3637",5021859,"N","N","Y","Y","New London",3,10,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",54,"M"
"3638",5024887,"N","Y","N","N","London Grove S",3,2,"N","N","N","N","B","X","X","X","X","N","N","N","N","N",NA,NA
"3639",5025679,"Y","Y","N","N","East Nottingham East",3,5,"Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",45,"F"
"3640",5025859,"N","Y","N","N","Upper Oxford",3,2,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3641",5027183,"Y","N","Y","N","Oxford W",3,6,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3642",5028276,"Y","Y","N","N","Lower Oxford E",3,5,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3643",5028338,"N","Y","N","N","Londonderry",3,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3644",5028579,"N","Y","N","Y","East Nottingham East",3,9,"N","Y","N","Y","N","N","N","N","N","N","N","N","N","N",70,"M"
"3645",5029293,"N","N","N","Y","East Nottingham West",3,4,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3646",5029529,"Y","N","Y","N","Westtown 1",6,6,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3647",5030055,"N","N","N","Y","New London",3,4,"N","N","N","Y","B","X","X","X","X","mail","X","X","X","X",67,"M"
"3648",5030055,"N","N","N","Y","New London",3,4,"N","N","N","Y","B","X","X","X","X","mail","X","X","X","X",68,"M"
"3649",5030318,"N","N","Y","Y","London Grove S",3,10,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",47,"F"
"3650",5032702,"Y","N","N","N","Westtown 3",6,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
